_time,EC,Humidity_percent,PH,Temperature_C,WaterTemp_C
2023-10-26 04:15:05.180000+00:00,0.57,64.5,7.23,23.1,21.44
2023-10-26 04:20:12.430000+00:00,0.61,64.6,7.22,23.1,21.37
2023-10-26 04:25:24.500000+00:00,0.61,64.6,7.23,23,21.37
2023-10-26 04:30:32.052000+00:00,0.57,64.8,7.23,23,21.37
2023-10-26 04:35:39.478000+00:00,0.48,65.1,7.41,22.9,21.37
2023-10-26 04:40:47.158000+00:00,0.45,65.6,7.42,22.6,21.44
2023-10-26 04:45:59.080000+00:00,0.41,65.2,7.43,22.9,21.44
2023-10-26 04:51:06.209000+00:00,0.44,65,7.41,22.7,21.37
2023-10-26 04:56:13.908000+00:00,0.44,65.5,7.39,22.7,21.37
2023-10-26 05:01:21.828000+00:00,0.41,65.2,7.4,22.8,21.37
2023-10-26 05:06:32.955000+00:00,0.44,65.3,7.38,22.6,21.37
2023-10-26 05:11:39.822000+00:00,0.41,65,7.37,22.7,21.37
2023-10-26 05:16:47.541000+00:00,0.44,65.6,7.38,22.5,21.37
2023-10-26 05:21:55.161000+00:00,0.44,65.8,7.36,22.6,21.37
2023-10-26 05:27:05.368000+00:00,0.41,66.2,7.38,22.5,21.44
2023-10-26 05:32:13.499000+00:00,0.44,65.6,7.36,22.6,21.37
2023-10-26 05:37:21.319000+00:00,0.44,65.4,7.35,22.4,21.37
2023-10-26 05:42:29.459000+00:00,0.41,65.4,7.36,22.4,21.37
2023-10-26 05:47:41.583000+00:00,0.44,67.1,7.34,22.1,21.37
2023-10-26 05:52:48.669000+00:00,0.44,66,7.36,22.3,21.37
2023-10-26 05:57:57.065000+00:00,0.44,65.4,7.34,22.4,21.37
2023-10-26 06:03:04.773000+00:00,0.41,66,7.34,22.4,21.37
2023-10-26 06:08:16.365000+00:00,0.44,65.2,7.36,22.3,21.31
2023-10-26 06:13:24.115000+00:00,0.41,64.9,7.33,22.5,21.37
2023-10-26 06:18:32.194000+00:00,0.48,66.1,7.34,22.3,21.25
2023-10-26 06:23:40.061000+00:00,0.44,65.1,7.34,22.4,21.31
2023-10-26 06:28:47.597000+00:00,0.41,64.5,7.35,22.4,21.31
2023-10-26 06:33:54.628000+00:00,0.41,65.9,7.33,22.2,21.25
2023-10-26 06:39:02.198000+00:00,0.44,66.9,7.33,21.9,21.31
2023-10-26 06:44:23.183000+00:00,0.44,66.1,7.35,22,21.25
2023-10-26 06:49:31.254000+00:00,0.44,65.7,7.33,22,21.25
2023-10-26 06:54:38.458000+00:00,0.44,66.4,7.35,21.9,21.25
2023-10-26 06:59:46.234000+00:00,0.44,66.5,7.34,22,21.25
2023-10-26 07:04:58.579000+00:00,0.44,65.8,7.35,22.1,21.31
2023-10-26 07:10:05.798000+00:00,0.44,65,7.34,22,21.25
2023-10-26 07:15:12.822000+00:00,0.51,66.3,7.35,22,21.25
2023-10-26 07:20:19.830000+00:00,0.44,66.3,7.35,22,21.25
2023-10-26 07:25:32.065000+00:00,0.44,65.7,7.33,22.2,21.25
2023-10-26 07:30:40.864000+00:00,0.44,65.8,7.33,22,21.25
2023-10-26 07:35:47.702000+00:00,0.44,65.4,7.35,22.1,21.19
2023-10-26 07:40:55.138000+00:00,0.44,65.7,7.34,22,21.25
2023-10-26 07:46:07.630000+00:00,0.44,66.4,7.33,21.8,21.31
2023-10-26 07:51:15.385000+00:00,0.48,66.4,7.34,21.8,21.25
2023-10-26 07:56:22.566000+00:00,0.44,65.5,7.32,21.8,21.19
2023-10-26 08:01:30.321000+00:00,0.48,66.9,7.34,21.7,21.19
2023-10-26 08:06:37.757000+00:00,0.47,66.5,7.33,21.7,21.12
2023-10-26 08:11:44.562000+00:00,0.44,66.9,7.34,21.8,21.19
2023-10-26 08:16:51.998000+00:00,0.48,66,7.33,21.9,21.25
2023-10-26 08:22:02.940000+00:00,0.47,66.3,7.32,21.7,21.12
2023-10-26 08:27:10.004000+00:00,0.51,66.1,7.34,21.9,21.19
2023-10-26 08:32:18.427000+00:00,0.47,65.2,7.33,22.1,21.12
2023-10-26 08:37:26.306000+00:00,0.51,65.2,7.33,22.1,21.06
2023-10-26 08:42:36.725000+00:00,0.44,65.4,7.35,21.9,21.19
2023-10-26 08:47:43.652000+00:00,0.48,66.6,7.34,21.8,21.19
2023-10-26 08:52:51.167000+00:00,0.47,65.3,7.32,22.2,21.12
2023-10-26 08:57:57.879000+00:00,0.47,65.8,7.33,22.1,21.12
2023-10-26 09:03:10.322000+00:00,0.47,65.4,7.33,22.1,21.12
2023-10-26 09:08:18.125000+00:00,0.48,65.3,7.33,22.2,21.19
2023-10-26 09:13:25.084000+00:00,0.47,66,7.32,22,21.06
2023-10-26 09:18:32.275000+00:00,0.47,65.2,7.33,22.3,21.12
2023-10-26 09:23:43.798000+00:00,0.51,64.6,7.33,22.4,21.12
2023-10-26 09:28:51.619000+00:00,0.47,64,7.33,22.5,21.06
2023-10-26 09:33:58.420000+00:00,0.47,63.6,7.34,22.7,21.06
2023-10-26 09:39:05.608000+00:00,0.47,63.8,7.32,22.7,21.06
2023-10-26 09:44:17.664000+00:00,0.47,64.1,7.32,22.6,21.06
2023-10-26 09:49:25.288000+00:00,0.47,64.1,7.32,22.6,21
2023-10-26 09:54:33.229000+00:00,0.47,65.4,7.3,22.2,21.06
2023-10-26 09:59:40.379000+00:00,0.51,66.2,7.32,22.1,21.12
